import time: self [us] | cumulative | imported package
import time:        20 |      21008 |                     django.db.models.functions.comparison
import time:      1022 |      69937 |                   django.db.models.aggregates
import time:       283 |        283 |                         django.db.backends
import time:       776 |       1059 |                       django.db.backends.utils
import time:       319 |        319 |                           django.db.models.fields.related_lookups
import time:       230 |        230 |                           django.db.models.sql.constants
import time:       275 |        275 |                           django.db.models.sql.datastructures
import time:       363 |        363 |                           django.db.models.sql.where
import time:      1397 |       2582 |                         django.db.models.sql.query
import time:       302 |        302 |                         django.db.models.sql.subqueries
import time:       303 |       3186 |                       django.db.models.sql
import time:       385 |       4629 |                     django.db.models.indexes
import time:       544 |       5173 |                   django.db.models.constraints
import time:       339 |        339 |                     django.db.transaction
import time:       686 |       1024 |                   django.db.models.deletion
import time:       661 |        661 |                   django.db.models.enums
import time:       595 |        595 |                     django.core.files.images
import time:       338 |        338 |                       django.core.files.storage.base
import time:       246 |        246 |                         django.core.files.storage.mixins
import time:       327 |        573 |                       django.core.files.storage.filesystem
import time:       197 |        197 |                       django.core.files.storage.handler
import time:       381 |        381 |                       django.core.files.storage.memory
import time:       334 |       1821 |                     django.core.files.storage
import time:       480 |       2895 |                   django.db.models.fields.files
import time:       255 |        255 |                   django.db.models.fields.proxy
import time:       766 |        766 |                     django.db.models.query
import time:       545 |       1310 |                   django.db.models.manager
import time:       545 |        545 |                       django.db.models.fields.related_descriptors
import time:       389 |        389 |                       django.db.models.fields.reverse_related
import time:       639 |       1571 |                     django.db.models.fields.related
import time:       401 |        401 |                     django.db.models.options
import time:       600 |       2571 |                   django.db.models.base
import time:       884 |      85717 |                 django.db.models
import time:       718 |      86434 |               django.core.serializers.base
import time:      1069 |      87503 |             django.core.serializers
import time:       383 |        383 |             django.core.serializers.python
import time:       337 |      88222 |           django.core.serializers.json
import time:       687 |     102677 |         django.http.response
import time:       392 |     115488 |       django.http
import time:       249 |     115737 |     django.urls.exceptions
import time:       300 |        300 |       django.urls.converters
import time:       197 |        197 |       django.urls.utils
import time:       604 |       1100 |     django.urls.resolvers
import time:       877 |     117713 |   django.urls.base
import time:       503 |        503 |   django.urls.conf
import time:       495 |     118710 | django.urls
import time:       582 |        582 |     logging.handlers
import time:       495 |        495 |     socketserver
import time:      1096 |       2173 |   logging.config
import time:       479 |        479 |       email.generator
import time:      1550 |       1550 |         email._header_value_parser
import time:       490 |       2040 |       email.headerregistry
import time:       623 |        623 |         email.mime
import time:       241 |        241 |           email.contentmanager
import time:       338 |        579 |         email.policy
import time:       243 |       1443 |       email.mime.base
import time:       213 |        213 |         email.mime.nonmultipart
import time:       151 |        363 |       email.mime.message
import time:       142 |        142 |       email.mime.multipart
import time:       217 |        217 |       email.mime.text
import time:       234 |        234 |       django.core.mail.utils
import time:      1011 |       5926 |     django.core.mail.message
import time:       371 |       6296 |   django.core.mail
import time:       330 |       8797 | django.utils.log
import time:       262 |        262 |       django.template.response
import time:       230 |        230 |       django.utils.decorators
import time:       390 |        881 |     django.views.generic.base
import time:       277 |        277 |       django.views.generic.detail
import time:       349 |        349 |         django.core.paginator
import time:       305 |        654 |       django.views.generic.list
import time:       785 |       1715 |     django.views.generic.dates
import time:       360 |        360 |     django.views.generic.edit
import time:       370 |       3325 |   django.views.generic
import time:        15 |       3339 | django.views.generic.base
import time:       400 |        400 |   pprint
import time:       638 |        638 |   django.utils.timesince
import time:       584 |       1621 | django.template.defaultfilters
import time:       296 |        296 |   django.utils.lorem_ipsum
import time:       359 |        359 |   django.template.smartif
import time:       745 |       1399 | django.template.defaulttags
import time:       460 |        460 | django.contrib.admin.decorators
import time:       143 |        143 |         django.contrib.messages.constants
import time:       291 |        291 |         django.contrib.messages.storage
import time:       383 |        817 |       django.contrib.messages.api
import time:       491 |       1307 |     django.contrib.messages
import time:       562 |        562 |       django.contrib.admin.utils
import time:       492 |       1053 |     django.contrib.admin.helpers
import time:       685 |        685 |     django.contrib.admin.widgets
import time:       997 |        997 |     django.contrib.admin.checks
import time:       298 |        298 |     django.contrib.admin.exceptions
import time:       221 |        221 |       django.contrib.admin.templatetags
import time:       618 |        838 |     django.contrib.admin.templatetags.admin_urls
import time:       207 |        207 |         django.middleware
import time:       287 |        287 |         django.utils.cache
import time:       417 |        910 |       django.middleware.csrf
import time:       111 |        111 |         django.views.decorators
import time:       176 |        287 |       django.views.decorators.debug
import time:       617 |        617 |       django.contrib.auth.signals
import time:       459 |       2272 |     django.contrib.auth
import time:       205 |        205 |     django.views.decorators.csrf
import time:       917 |       8569 |   django.contrib.admin.options
import time:       390 |       8958 | django.contrib.admin.filters
import time:       216 |        216 |   django.contrib.admin.actions
import time:       194 |        194 |     django.contrib.admin.views
import time:       238 |        431 |   django.contrib.admin.views.autocomplete
import time:       214 |        214 |     django.middleware.cache
import time:       130 |        344 |   django.views.decorators.cache
import time:       129 |        129 |   django.views.decorators.common
import time:       333 |        333 |   django.views.i18n
import time:       432 |       1883 | django.contrib.admin.sites
import time:       242 |        242 |     getpass
import time:       298 |        298 |       django.contrib.contenttypes
import time:       425 |        425 |           django.db.migrations.utils
import time:       282 |        282 |           django.db.migrations.exceptions
import time:       424 |       1131 |         django.db.migrations.migration
import time:       193 |        193 |             django.db.migrations.operations.base
import time:       490 |        683 |           django.db.migrations.operations.fields
import time:       450 |        450 |             django.db.migrations.state
import time:       529 |        978 |           django.db.migrations.operations.models
import time:       262 |        262 |           django.db.migrations.operations.special
import time:       497 |       2419 |         django.db.migrations.operations
import time:       502 |       4050 |       django.db.migrations
import time:       570 |       4918 |     django.contrib.contenttypes.management
import time:       330 |       5489 |   django.contrib.auth.management
import time:       325 |       5813 | django.contrib.auth.checks
import time:       200 |        200 | django.contrib.contenttypes.checks
import time:       189 |        189 |   django.contrib.messages.utils
import time:       419 |        608 | django.contrib.messages.storage.base
import time:       439 |        439 |     django.contrib.staticfiles.utils
import time:       376 |        814 |   django.contrib.staticfiles.finders
import time:       148 |        961 | django.contrib.staticfiles.checks
import time:       363 |        363 | __future__
import time:       305 |        305 |     corsheaders.defaults
import time:       296 |        601 |   corsheaders.conf
import time:       517 |       1117 | corsheaders.checks
import time:       229 |        229 | django.contrib.sites.checks
import time:       234 |        234 | django.contrib.sites.management
import time:       712 |        712 |     _csv
import time:       593 |       1305 |   csv
import time:       915 |        915 |   zipfile
import time:      1579 |       1579 |   configparser
import time:      1054 |       4852 | importlib.metadata
import time:       364 |        364 | allauth.app_settings
import time:       533 |        533 | allauth.utils
import time:      1137 |       1137 | django.contrib.contenttypes.models
import time:       448 |        448 |   django.contrib.auth.password_validation
import time:       584 |        584 |   django.contrib.auth.hashers
import time:       223 |        223 |     django.db.backends.base
import time:       232 |        232 |     django.db.backends.base.validation
import time:       217 |        217 |     django.db.backends.signals
import time:       210 |        210 |     django.utils.asyncio
import time:       512 |       1392 |   django.db.backends.base.base
import time:       693 |        693 |     MySQLdb.release
import time:       412 |        412 |       MySQLdb._exceptions
import time:     15581 |      15992 |     MySQLdb._mysql
import time:       362 |        362 |     MySQLdb.constants
import time:       307 |        307 |     MySQLdb.constants.FIELD_TYPE
import time:       251 |        251 |     MySQLdb.times
import time:       584 |      18187 |   MySQLdb
import time:       119 |        119 |   MySQLdb.constants.CLIENT
import time:       110 |        110 |     MySQLdb.constants.FLAG
import time:       162 |        272 |   MySQLdb.converters
import time:       202 |        202 |     django.db.backends.base.client
import time:       245 |        447 |   django.db.backends.mysql.client
import time:       288 |        288 |     django.db.backends.base.creation
import time:       171 |        459 |   django.db.backends.mysql.creation
import time:       335 |        335 |     django.db.backends.base.features
import time:       337 |        672 |   django.db.backends.mysql.features
import time:       234 |        234 |         sqlparse.tokens
import time:       468 |        468 |         sqlparse.utils
import time:       992 |       1693 |       sqlparse.sql
import time:       118 |        118 |         sqlparse.exceptions
import time:       384 |        501 |       sqlparse.cli
import time:       349 |        349 |         sqlparse.engine.grouping
import time:       437 |        437 |             sqlparse.keywords
import time:       235 |        672 |           sqlparse.lexer
import time:       142 |        142 |           sqlparse.engine.statement_splitter
import time:       323 |        323 |             sqlparse.filters.others
import time:       141 |        141 |             sqlparse.filters.output
import time:       237 |        237 |             sqlparse.filters.tokens
import time:       295 |        295 |             sqlparse.filters.reindent
import time:       116 |        116 |             sqlparse.filters.right_margin
import time:       296 |        296 |             sqlparse.filters.aligned_indent
import time:       277 |       1684 |           sqlparse.filters
import time:       159 |       2655 |         sqlparse.engine.filter_stack
import time:       337 |       3340 |       sqlparse.engine
import time:       119 |        119 |       sqlparse.formatter
import time:       664 |       6316 |     sqlparse
import time:       298 |        298 |     django.db.backends.base.introspection
import time:       441 |       7053 |   django.db.backends.mysql.introspection
import time:       403 |        403 |     django.db.backends.base.operations
import time:       382 |        785 |   django.db.backends.mysql.operations
import time:       349 |        349 |       django.db.backends.ddl_references
import time:       435 |        783 |     django.db.backends.base.schema
import time:       177 |        959 |   django.db.backends.mysql.schema
import time:       324 |        324 |   django.db.backends.mysql.validation
import time:      1723 |      33417 | django.contrib.auth.base_user
import time:       417 |        417 | django.contrib.auth.validators
import time:       268 |        268 | django.utils.translation.reloader
import time:       430 |        430 | django.contrib.sessions.base_session
import time:       266 |        266 |           django.core.handlers
import time:       561 |        561 |             django.core.handlers.exception
import time:       376 |        937 |           django.core.handlers.base
import time:       565 |       1767 |         django.core.handlers.asgi
import time:       361 |        361 |         django.core.handlers.wsgi
import time:       546 |        546 |         django.test.signals
import time:       253 |        253 |               unittest.util
import time:       329 |        582 |             unittest.result
import time:       558 |        558 |             unittest.case
import time:       314 |        314 |             unittest.suite
import time:       628 |        628 |             unittest.loader
import time:       274 |        274 |                 unittest.signals
import time:       215 |        489 |               unittest.runner
import time:       214 |        702 |             unittest.main
import time:       439 |       3221 |           unittest
import time:       234 |        234 |               xml
import time:       317 |        317 |               xml.dom.domreg
import time:       908 |       1458 |             xml.dom
import time:       199 |        199 |             xml.dom.minicompat
import time:       122 |        122 |               xml.dom.NodeFilter
import time:      6775 |       6896 |             xml.dom.xmlbuilder
import time:       739 |       9292 |           xml.dom.minidom
import time:       924 |        924 |             jinja2.bccache
import time:       657 |        657 |                 markupsafe._speedups
import time:       739 |       1395 |               markupsafe
import time:      1567 |       1567 |                 jinja2.utils
import time:      1660 |       3227 |               jinja2.nodes
import time:       382 |        382 |                 jinja2.exceptions
import time:       325 |        325 |                   jinja2.visitor
import time:       462 |        787 |                 jinja2.idtracking
import time:       263 |        263 |                 jinja2.optimizer
import time:       987 |       2418 |               jinja2.compiler
import time:       321 |        321 |                   jinja2.async_utils
import time:       993 |        993 |                   jinja2.runtime
import time:      1062 |       2375 |                 jinja2.filters
import time:       300 |        300 |                 jinja2.tests
import time:       210 |       2885 |               jinja2.defaults
import time:      1114 |       1114 |                 jinja2._identifier
import time:      1504 |       2618 |               jinja2.lexer
import time:      1961 |       1961 |               jinja2.parser
import time:      2111 |      16611 |             jinja2.environment
import time:       607 |        607 |             jinja2.loaders
import time:       616 |      18758 |           jinja2
import time:       628 |      31897 |         django.test.utils
import time:       797 |      35366 |       django.test.client
import time:       198 |        198 |             urllib.response
import time:       373 |        570 |           urllib.error
import time:       918 |        918 |           _scproxy
import time:      1767 |       3254 |         urllib.request
import time:       419 |        419 |         django.core.management.sql
import time:       221 |        221 |           django.core.servers
import time:       204 |        204 |           wsgiref
import time:       499 |        499 |             http.server
import time:       183 |        183 |               wsgiref.util
import time:       202 |        202 |               wsgiref.headers
import time:       631 |       1016 |             wsgiref.handlers
import time:      1595 |       1595 |             platform
import time:       387 |       3495 |           wsgiref.simple_server
import time:       249 |        249 |           django.core.wsgi
import time:       521 |       4688 |         django.core.servers.basehttp
import time:       343 |        343 |         django.test.html
import time:       240 |        240 |         django.views.static
import time:      1023 |       9965 |       django.test.testcases
import time:       246 |      45575 |     django.test
import time:        14 |      45589 |   django.test.signals
import time:       594 |        594 |   rest_framework.settings
import time:       332 |        332 |   rest_framework_simplejwt.utils
import time:       373 |      46887 | rest_framework_simplejwt.settings
import time:       552 |        552 | allauth.account.app_settings
import time:       450 |        450 | allauth.account.signals
import time:       154 |        154 |     django.contrib.sites.requests
import time:       293 |        446 |   django.contrib.sites.shortcuts
import time:       331 |        331 |   django.shortcuts
import time:       161 |        161 |   allauth.core
import time:       399 |        399 |   allauth.core.context
import time:       382 |        382 |   allauth.core.ratelimit
import time:       152 |        152 |     allauth.core.internal
import time:       184 |        336 |   allauth.core.internal.adapter
import time:       185 |        185 |   allauth.core.internal.httpkit
import time:       585 |       2822 | allauth.account.adapter
import time:       332 |        332 | allauth.account.managers
import time:       209 |        209 |                 allauth.core.exceptions
import time:       156 |        364 |               allauth.account.internal.flows.login
import time:       203 |        566 |             allauth.account.authentication
import time:       240 |        806 |           allauth.account.internal.flows.reauthentication
import time:       225 |       1030 |         allauth.account.internal.flows.manage_email
import time:       336 |       1365 |       allauth.account.internal.flows.email_verification
import time:       247 |        247 |           allauth.account.internal.flows.signup
import time:       308 |        308 |             allauth.account.stages
import time:       220 |        527 |           allauth.account.internal.stagekit
import time:       294 |       1067 |         allauth.account.internal.flows.login_by_code
import time:       263 |       1330 |       allauth.account.internal.flows.email_verification_by_code
import time:       282 |        282 |       allauth.account.internal.flows.logout
import time:       182 |        182 |       allauth.account.internal.flows.password_change
import time:       452 |        452 |       allauth.account.internal.flows.password_reset
import time:       236 |       3845 |     allauth.account.internal.flows
import time:       353 |       4198 |   allauth.account.internal
import time:       603 |       4801 | allauth.account.utils
import time:       223 |        223 | allauth.socialaccount.app_settings
